z	n	A	E2+            err
38         48         86         100.00000000         100.00000000
38         50         88         100.00000000         100.00000000
38         52         90         100.00000000         100.00000000
38         54         92         100.00000000         100.00000000
38         56         94         100.00000000         100.00000000
38         58         96         100.00000000         100.00000000
38         60         98         100.00000000         100.00000000
38         62        100         100.00000000         100.00000000
38         64        102         100.00000000         100.00000000
38         66        104         100.00000000         100.00000000
38         68        106         100.00000000         100.00000000
38         70        108         100.00000000         100.00000000
38         72        110         100.00000000         100.00000000
40         32         72         100.00000000         100.00000000
40         34         74         100.00000000         100.00000000
40         36         76         100.00000000         100.00000000
40         38         78         100.00000000         100.00000000
40         40         80         100.00000000         100.00000000
40         42         82         100.00000000         100.00000000
40         44         84         100.00000000         100.00000000
40         46         86         100.00000000         100.00000000
40         48         88         100.00000000         100.00000000
40         50         90         100.00000000         100.00000000
40         52         92         100.00000000         100.00000000
40         54         94         100.00000000         100.00000000
40         56         96         100.00000000         100.00000000
40         58         98         100.00000000         100.00000000
40         60        100         100.00000000         100.00000000
40         62        102         100.00000000         100.00000000
40         64        104         100.00000000         100.00000000
40         66        106         100.00000000         100.00000000
40         68        108         100.00000000         100.00000000
40         70        110         100.00000000         100.00000000
40         72        112         100.00000000         100.00000000
40         74        114         100.00000000         100.00000000
40         76        116         100.00000000         100.00000000
42         34         76         100.00000000         100.00000000
42         36         78         100.00000000         100.00000000
42         38         80         100.00000000         100.00000000
42         40         82         100.00000000         100.00000000
42         42         84         100.00000000         100.00000000
42         44         86         100.00000000         100.00000000
42         46         88         100.00000000         100.00000000
42         48         90         100.00000000         100.00000000
42         50         92         100.00000000         100.00000000
42         52         94         100.00000000         100.00000000
42         54         96         100.00000000         100.00000000
42         56         98         100.00000000         100.00000000
42         58        100         100.00000000         100.00000000
42         60        102         100.00000000         100.00000000
42         62        104         100.00000000         100.00000000
42         64        106         100.00000000         100.00000000
42         66        108         100.00000000         100.00000000
42         68        110         100.00000000         100.00000000
42         70        112         100.00000000         100.00000000
42         72        114         100.00000000         100.00000000
42         74        116         100.00000000         100.00000000
42         76        118         100.00000000         100.00000000
44         36         80         100.00000000         100.00000000
44         38         82         100.00000000         100.00000000
44         40         84         100.00000000         100.00000000
44         42         86         100.00000000         100.00000000
44         44         88         100.00000000         100.00000000
44         46         90         100.00000000         100.00000000
44         48         92         100.00000000         100.00000000
44         50         94         100.00000000         100.00000000
44         52         96         100.00000000         100.00000000
44         54         98         100.00000000         100.00000000
44         56        100         100.00000000         100.00000000
44         58        102         100.00000000         100.00000000
44         60        104         100.00000000         100.00000000
44         62        106         100.00000000         100.00000000
44         64        108         100.00000000         100.00000000
44         66        110         100.00000000         100.00000000
44         68        112         100.00000000         100.00000000
44         70        114         100.00000000         100.00000000
44         72        116         100.00000000         100.00000000
44         74        118         100.00000000         100.00000000
44         76        120         100.00000000         100.00000000
44         78        122         100.00000000         100.00000000
44         80        124         100.00000000         100.00000000
44         82        126         100.00000000         100.00000000
46         38         84         100.00000000         100.00000000
46         40         86         100.00000000         100.00000000
46         42         88         100.00000000         100.00000000
46         44         90         100.00000000         100.00000000
46         46         92         100.00000000         100.00000000
46         48         94         100.00000000         100.00000000
46         50         96         100.00000000         100.00000000
46         52         98         100.00000000         100.00000000
46         54        100         100.00000000         100.00000000
46         56        102         100.00000000         100.00000000
46         58        104         100.00000000         100.00000000
46         60        106         100.00000000         100.00000000
46         62        108         100.00000000         100.00000000
46         64        110         100.00000000         100.00000000
46         66        112         100.00000000         100.00000000
46         68        114         100.00000000         100.00000000
46         70        116         100.00000000         100.00000000
46         72        118         100.00000000         100.00000000
46         74        120         100.00000000         100.00000000
46         76        122         100.00000000         100.00000000
46         78        124         100.00000000         100.00000000
46         80        126         100.00000000         100.00000000
46         82        128         100.00000000         100.00000000
46         84        130         100.00000000         100.00000000
46         86        132         100.00000000         100.00000000
46         88        134         100.00000000         100.00000000
46         90        136         100.00000000         100.00000000
48         42         90         100.00000000         100.00000000
48         44         92         100.00000000         100.00000000
48         46         94         100.00000000         100.00000000
48         48         96         100.00000000         100.00000000
48         50         98         100.00000000         100.00000000
48         52        100         100.00000000         100.00000000
48         54        102         100.00000000         100.00000000
48         56        104         100.00000000         100.00000000
48         58        106         100.00000000         100.00000000
48         60        108         100.00000000         100.00000000
48         62        110         100.00000000         100.00000000
48         64        112         100.00000000         100.00000000
48         66        114         100.00000000         100.00000000
48         68        116         100.00000000         100.00000000
48         70        118         100.00000000         100.00000000
48         72        120         100.00000000         100.00000000
48         74        122         100.00000000         100.00000000
48         76        124         100.00000000         100.00000000
48         78        126         100.00000000         100.00000000
48         80        128         100.00000000         100.00000000
48         82        130         100.00000000         100.00000000
48         84        132         100.00000000         100.00000000
48         86        134         100.00000000         100.00000000
48         88        136         100.00000000         100.00000000
48         90        138         100.00000000         100.00000000
48         92        140         100.00000000         100.00000000
50         44         94         100.00000000         100.00000000
50         46         96         100.00000000         100.00000000
50         48         98         100.00000000         100.00000000
50         50        100         100.00000000         100.00000000
50         52        102         100.00000000         100.00000000
50         54        104         100.00000000         100.00000000
50         56        106         100.00000000         100.00000000
50         58        108         100.00000000         100.00000000
50         60        110         100.00000000         100.00000000
50         62        112         100.00000000         100.00000000
50         64        114         100.00000000         100.00000000
50         66        116         100.00000000         100.00000000
50         68        118         100.00000000         100.00000000
50         70        120         100.00000000         100.00000000
50         72        122         100.00000000         100.00000000
50         74        124         100.00000000         100.00000000
50         76        126         100.00000000         100.00000000
50         78        128         100.00000000         100.00000000
50         80        130         100.00000000         100.00000000
50         82        132         100.00000000         100.00000000
50         84        134         100.00000000         100.00000000
50         86        136         100.00000000         100.00000000
50         88        138         100.00000000         100.00000000
50         90        140         100.00000000         100.00000000
50         92        142         100.00000000         100.00000000
50         94        144         100.00000000         100.00000000
50         96        146         100.00000000         100.00000000
52         46         98         100.00000000         100.00000000
52         48        100         100.00000000         100.00000000
52         50        102         100.00000000         100.00000000
52         52        104         100.00000000         100.00000000
52         54        106         100.00000000         100.00000000
52         56        108         100.00000000         100.00000000
