    z	n	A	secondTwoPlusEnergy	err
    62      88     150         1046.14800000           1.00000000 
    64      88     152          930.54500000           1.00000000 
    66      88     154          905.08000000           1.00000000 
    68      88     156          930.48000000           1.00000000 
    56      90     146         1115.21000000           1.00000000 
    58      90     148          935.59000000           1.00000000 
    60      90     150          850.75000000           1.00000000 
    62      90     152          810.45300000           1.00000000 
    64      90     154          815.49170000           1.00000000 
    66      90     156          828.64000000           1.00000000 
    68      90     158          820.12000000           1.00000000 
    70      90     160          820.51000000           1.00000000 
    56      92     148         1049.20000000           1.00000000 
    60      92     152         1251.03000000           1.00000000 
    62      92     154         1177.81200000           1.00000000 
    64      92     156         1129.43700000           1.00000000 
    66      92     158          946.32000000           1.00000000 
    68      92     160          854.20000000           1.00000000 
    70      92     162          798.42000000           1.00000000 
    72      92     164          816.00000000           1.00000000 
    60      94     154          961.60000000           1.00000000 
    62      94     156         1441.00000000           1.00000000 
    64      94     158         1187.14800000           1.00000000 
    66      94     160          966.16870000           1.00000000 
    68      94     162          900.72000000           1.00000000 
    70      94     164          863.88600000           1.00000000 
    72      94     166          809.96000000           1.00000000 
    64      96     160          988.54800000           1.00000000 
    66      96     162          888.16100000           1.00000000 
    68      96     164          860.25000000           1.00000000 
    70      96     166          932.38000000           1.00000000 
    72      96     168          875.94000000           1.00000000 
    74      96     170          937.06000000           1.00000000 
    76      96     172          702.80000000           1.00000000 
    64      98     162          863.00000000           1.00000000 
    66      98     164          761.81500000           1.00000000 
    68      98     166          785.90500000           1.00000000 
    70      98     168          984.00000000           1.00000000 
    72      98     170          961.96000000           1.00000000 
    76      98     174          690.90000000           1.00000000 
    66     100     166          857.16300000           1.00000000 
    68     100     168          821.16850000           1.00000000 
    70     100     170         1138.55000000           1.00000000 
    72     100     172          952.43000000           1.00000000 
    76     100     176          742.40000000           1.00000000 
    78     100     178          653.20000000           1.00000000 
    80     100     180          601.60000000           1.00000000 
    68     102     170          934.02300000           1.00000000 
    70     102     172         1117.87400000           1.00000000 
    72     102     174          900.24000000           1.00000000 
    74     102     176          930.00000000           1.00000000 
    76     102     178          770.99000000           1.00000000 
    78     102     180          677.48000000           1.00000000 
    80     102     182          548.30000000           1.00000000 
    66     104     170          991.80000000           1.00000000 
    68     104     172          961.40000000           1.00000000 
    70     104     174         1561.02100000           1.00000000 
    72     104     176         1226.63000000           1.00000000 
    74     104     178         1082.44000000           1.00000000 
    76     104     180          831.09000000           1.00000000 
    78     104     182          667.77000000           1.00000000 
    80     104     184          534.42000000           1.00000000 
    82     104     186          945.30000000           1.00000000 
    70     106     176         1199.57800000           1.00000000 
    72     106     178         1174.63000000           1.00000000 
    74     106     180         1117.31000000           1.00000000 
    76     106     182          890.61000000           1.00000000 
    78     106     184          648.67000000           1.00000000 
    80     106     186          621.07000000           1.00000000 
    82     106     188          952.50000000           1.00000000 
    70     108     178         1221.00000000           1.00000000 
    72     108     180         1183.36000000           1.00000000 
    74     108     182         1221.40010000           1.00000000 
    76     108     184          942.87000000           1.00000000 
    78     108     186          607.17000000           1.00000000 
    80     108     188          881.10000000           1.00000000 
    82     108     190         1163.00000000           1.00000000 
    72     110     182          818.40000000           1.00000000 
    74     110     184          903.30700000           1.00000000 
    76     110     186          767.47700000           1.00000000 
    78     110     188          605.69000000           1.00000000 
    80     110     190         1099.94000000           1.00000000 
    82     110     192         1237.88000000           1.00000000 
    84     110     194          757.67000000           1.00000000 
    74     112     186          737.96000000           1.00000000 
    76     112     188          633.03700000           1.00000000 
    78     112     190          597.61000000           1.00000000 
    80     112     192         1113.60000000           1.00000000 
    82     112     194         1308.27000000           1.00000000 
    84     112     196          859.05000000           1.00000000 
    74     114     188          628.14000000           1.00000000 
    76     114     190          557.97800000           1.00000000 
    78     114     192          612.46318000           1.00000000 
    80     114     194         1073.09000000           1.00000000 
    82     114     196         1449.87000000           1.00000000 
    84     114     198         1039.13000000           1.00000000 
    74     116     190          453.90000000           1.00000000 
    76     116     192          489.06010000           1.00000000 
    78     116     194          622.02400000           1.00000000 
    80     116     196          958.40000000           1.00000000 
    84     116     200         1392.30000000           1.00000000 
    76     118     194          656.54000000           1.00000000 
    78     118     196          688.69300000           1.00000000 
    80     118     198         1087.68740000           1.00000000 
    82     118     200         1739.35000000           1.00000000 
    84     118     202         1302.50000000           1.00000000 
    78     120     198          774.72000000           1.00000000 
    80     120     200         1254.10100000           1.00000000 
    82     120     202         1584.00000000           1.00000000 
    76     122     198          877.60000000           1.00000000 
    78     122     200          867.58000000           1.00000000 
    80     122     202          959.94000000           1.00000000 
    82     122     204         1351.23000000           1.00000000 
    84     122     206         1162.20000000           1.00000000 
    80     124     204         1716.76000000           1.00000000 
    82     124     206         1466.81000000           1.00000000 
    84     124     208         1263.03000000           1.00000000 
    82     126     208         4928.10000000           1.00000000 
    84     126     210         2290.14000000           1.00000000 
    82     128     210         2209.00000000           1.00000000 
    84     128     212         1512.70000000           1.00000000 
    84     130     214         1377.68000000           1.00000000 
    88     134     222         1024.92000000           1.00000000 
    86     136     222          867.10000000           1.00000000 
    88     136     224          965.65000000           1.00000000 
    90     136     226          847.80000000           1.00000000 
    88     138     226          873.70000000           1.00000000 
    90     138     228          874.53500000           1.00000000 
    88     140     228          770.71000000           1.00000000 
    90     140     230          677.51500000           1.00000000 
    92     140     232          734.57000000           1.00000000 
    88     142     230          734.87000000           1.00000000 
    90     142     232          774.15000000           1.00000000 
    92     142     234          851.74000000           1.00000000 
    90     144     234         1896.30000000           1.00000000 
    92     144     236          957.90000000           1.00000000 
    94     144     238          983.09000000           1.00000000 
    92     146     238          966.13000000           1.00000000 
    94     146     240          900.32000000           1.00000000 
    94     148     242          992.50000000           1.00000000 
    96     148     244          970.00000000           1.00000000 
    94     150     244          708.00000000           1.00000000 
    96     150     246         1124.26000000           1.00000000 
    98     150     248         2281.00000000           1.00000000 
    96     152     248         1050.00000000           1.00000000 
    98     152     250         1031.85200000           1.00000000 
    98     154     252          804.82000000           1.00000000 
   100     154     254          693.66000000           1.00000000 
   100     156     256          682.21000000           1.00000000 
